,ID,EPID,ELID,LOADID,DOI,title,year,journal,country,institution,laboratory,authors,Ltot,Lspan,Lcons,Lmeas,h,b,hc,thc,RH,Temp,pd,fcm,catfcm,tfcm,fctm,catfctm,tfctm,Ecm,catEcm,tEcm,mix,Es,fsr,fy,phi,zs,nbl,clat,phit,st,phiw,sw,type,method,fpk,fp01k,Ep,rel,fpr,npl,phip,Ap,zp,cplat,catf,epsin,catcal,selfw,typew,locw,epsc,Nrep,N,M,sigs,t0,t,PL,catp,t0p,tp,ncr,wm,wk,wmax,sm,smax,indLR,indNP,indtfcm,indtfctm,indtEcm,Ac,Astot,ts,sc,class_C,fcm28,Bcc,fck28,fcm_cube_150,fctm28,fctmfl28,fctmfl,fct095_28,fct095,fct095fl_28,fct095fl,Ecm28,phi_bc,phi_bc_prestress,phi_bc_prior_load,phi_dc,phi_dc_prestress,phi_dc_prior_load,phi_creep,phi_creep_prestress,phi_creep_prior_load,Ecm0,eps_cbs,eps_cbs_prestress,eps_cds,eps_cds_prestress,shrinkage,shrinkage_prestress,shrinkage_init,bondLR,bondPR,ae,ap,sxLR,ry,cy,ry0,rx,ryp,zstot,zstensinit,Astensinit,rhotot,rhotensinit,At,Aw,Aptot,zptot,zeta1,zeta,phi_peq,cog,Izz,Wb,Wt,rho,qself,Mself,ep,Mp,pre_loss,initstrain,fctmorg,W_Ib,Ncr095,Mcr095,CS,Ncr,Mcr,tau_bms,tau_max,xcinit,epsinit,dpsigs,xc,eps,epsbot,sigssimpl,zstottens,Astens,Actens,Aceff_MC2020,Aseff_MC2020,Apeff_MC2020,phi_eq_MC2020,rhoeff_MC2020,hceff_MC2020,Aceff_FPR,Aseff_FPR,Apeff_FPR,phi_eq_FPR,rhoeff_FPR,hceff_FPR,sigssr,r,p,k1,srtemp,srlower
2,6216,23,BSTS2-16,3,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,2650.0,2400.0,800.0,800.0,400.0,200,"[4,6]","[14,46]",65.0,"[0,0]",2,38.736842105263165,"[1,100x200,0]",[60],2.8338421876135467,"[3,600x100x100,3]",[60],30369.911385560044,"[1,100x200,1]",[60],"[0,0,0,0,00.6,20,0,0,0]",204000.0,2,500.0,[16],[342],[2],[50],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,2,0,2,3,1,220.0,1,0.0,41.38666666666666,199.72425592606606,60,1,0.0,0,0,0,0,0.103,0.0,0.125,0.0,0.0,0,-1,0,0,0,80000.0,402.1238596594935,14,0.5,CN,33.06106034051696,1.0,25.06106034051696,46.670894102726706,2.8338421876135467,3.5463381655302575,3.5463381655302575,3.6839948438976107,3.6839948438976107,4.610239615189335,4.610239615189335,30369.911385560044,0.0,1.910283405002231,1.910283405002231,0.0,1.608511082129019,1.608511082129019,0.0,3.5187944871312498,3.5187944871312498,30369.911385560044,-4.147296487165753e-05,-4.147296487165753e-05,-0.0001286142810733896,-0.0001286142810733896,-0.00017008724594504712,-0.00017008724594504712,-0.00021999999999999998,1,0,6.717174686818339,0.0,84.0,58.0,50.0,342.0,58.0,0.0,342.0,342.0,402.1238596594935,0.005879003796191426,0.005879003796191426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.96675178198242,1067925476.2426562,5447675.258918157,5235782.140533123,25.0,2.0,1.3866666666666665,0.0,0.0,0.0,0.0,2.8338421876135467,5671124.551655559,0.0,26.145243070715313,2,0.0,20.111725439011778,5.100915937704384,15.559732104309983,83.55249357527747,0.0005191843511358507,0.0,107.07882514640607,0.0004462539547058686,0.001220757068606041,327.6156894611499,342.0,402.1238596594935,21415.765029281214,27600.0,402.1238596594935,0.0,16.0,0.014569705060126576,138.0,27600.0,402.1238596594935,0.0,16.0,0.014569705060126576,138.0,210.70394241503826,0.0,0.0,0.0,1000.0,152.52348712973304
3,6217,23,BSTS2-16,4,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,2650.0,2400.0,800.0,800.0,400.0,200,"[4,6]","[14,46]",65.0,"[0,0]",2,38.736842105263165,"[1,100x200,0]",[60],2.8338421876135467,"[3,600x100x100,3]",[60],30369.911385560044,"[1,100x200,1]",[60],"[0,0,0,0,00.6,20,0,0,0]",204000.0,2,500.0,[16],[342],[2],[50],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,2,0,2,3,1,220.0,1,0.0,49.38666666666666,265.00479314999916,60,1,0.0,0,0,0,9,0.102,0.0,0.15,110.0,122.0,0,-1,0,0,0,80000.0,402.1238596594935,14,0.5,CN,33.06106034051696,1.0,25.06106034051696,46.670894102726706,2.8338421876135467,3.5463381655302575,3.5463381655302575,3.6839948438976107,3.6839948438976107,4.610239615189335,4.610239615189335,30369.911385560044,0.0,1.910283405002231,1.910283405002231,0.0,1.608511082129019,1.608511082129019,0.0,3.5187944871312498,3.5187944871312498,30369.911385560044,-4.147296487165753e-05,-4.147296487165753e-05,-0.0001286142810733896,-0.0001286142810733896,-0.00017008724594504712,-0.00017008724594504712,-0.00021999999999999998,1,0,6.717174686818339,0.0,84.0,58.0,50.0,342.0,58.0,0.0,342.0,342.0,402.1238596594935,0.005879003796191426,0.005879003796191426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.96675178198242,1067925476.2426562,5447675.258918157,5235782.140533123,25.0,2.0,1.3866666666666665,0.0,0.0,0.0,0.0,2.8338421876135467,5671124.551655559,0.0,26.145243070715313,2,0.0,20.111725439011778,5.100915937704384,15.559732104309983,83.55249357527747,0.0006195421509688114,0.0,103.18859162701268,0.000561306636246614,0.0016145410127862286,390.9434644858567,342.0,402.1238596594935,20637.718325402533,27600.0,402.1238596594935,0.0,16.0,0.014569705060126576,138.0,27600.0,402.1238596594935,0.0,16.0,0.014569705060126576,138.0,210.70394241503826,0.0,0.0,0.0,1000.0,152.52348712973304
6,6220,23,BSTS3-16,3,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,2650.0,2400.0,800.0,800.0,400.0,200,"[4,6]","[14,46]",65.0,"[0,0]",2,38.736842105263165,"[1,100x200,0]",[60],2.8338421876135467,"[3,600x100x100,3]",[60],30369.911385560044,"[1,100x200,1]",[60],"[0,0,0,0,00.6,20,0,0,0]",204000.0,2,500.0,[16],[342],[3],[50],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,2,0,2,3,1,220.0,1,0.0,49.38666666666666,166.98110099213878,60,1,0.0,0,0,0,0,0.085,0.0,0.125,0.0,0.0,0,-1,0,0,0,80000.0,603.1857894892403,14,0.5,CN,33.06106034051696,1.0,25.06106034051696,46.670894102726706,2.8338421876135467,3.5463381655302575,3.5463381655302575,3.6839948438976107,3.6839948438976107,4.610239615189335,4.610239615189335,30369.911385560044,0.0,1.910283405002231,1.910283405002231,0.0,1.608511082129019,1.608511082129019,0.0,3.5187944871312498,3.5187944871312498,30369.911385560044,-4.147296487165753e-05,-4.147296487165753e-05,-0.0001286142810733896,-0.0001286142810733896,-0.00017008724594504712,-0.00017008724594504712,-0.00021999999999999998,1,0,6.717174686818339,0.0,42.0,58.0,50.0,342.0,58.0,0.0,342.0,342.0,603.1857894892403,0.008818505694287139,0.008818505694287139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.86816446227755,1069421494.9991736,5508738.389234313,5194690.9702744745,25.0,2.0,1.3866666666666665,0.0,0.0,0.0,0.0,2.8338421876135467,5837934.884914422,0.0,26.914278677328262,2,0.0,20.70329129025251,5.100915937704384,15.559732104309983,99.18701604614134,0.0005306895186717977,0.0,122.36296871619254,0.0004560175878131028,0.001034686969611572,265.02555865220853,342.0,603.1857894892403,24472.593743238507,27600.0,603.1857894892403,0.0,16.0,0.021854557590189866,138.0,27600.0,603.1857894892403,0.0,16.0,0.021854557590189866,138.0,145.86981855051286,0.0,0.0,0.0,1000.0,101.68232475315536
7,6221,23,BSTS3-16,4,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,2650.0,2400.0,800.0,800.0,400.0,200,"[4,6]","[14,46]",65.0,"[0,0]",2,38.736842105263165,"[1,100x200,0]",[60],2.8338421876135467,"[3,600x100x100,3]",[60],30369.911385560044,"[1,100x200,1]",[60],"[0,0,0,0,00.6,20,0,0,0]",204000.0,2,500.0,[16],[342],[3],[50],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,2,0,2,3,1,220.0,1,0.0,61.38666666666666,263.40922705428744,60,1,0.0,0,0,0,5,0.14,0.0,0.175,133.3,162.0,0,-1,0,0,0,80000.0,603.1857894892403,14,0.5,CN,33.06106034051696,1.0,25.06106034051696,46.670894102726706,2.8338421876135467,3.5463381655302575,3.5463381655302575,3.6839948438976107,3.6839948438976107,4.610239615189335,4.610239615189335,30369.911385560044,0.0,1.910283405002231,1.910283405002231,0.0,1.608511082129019,1.608511082129019,0.0,3.5187944871312498,3.5187944871312498,30369.911385560044,-4.147296487165753e-05,-4.147296487165753e-05,-0.0001286142810733896,-0.0001286142810733896,-0.00017008724594504712,-0.00017008724594504712,-0.00021999999999999998,1,0,6.717174686818339,0.0,42.0,58.0,50.0,342.0,58.0,0.0,342.0,342.0,603.1857894892403,0.008818505694287139,0.008818505694287139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.86816446227755,1069421494.9991736,5508738.389234313,5194690.9702744745,25.0,2.0,1.3866666666666665,0.0,0.0,0.0,0.0,2.8338421876135467,5837934.884914422,0.0,26.914278677328262,2,0.0,20.70329129025251,5.100915937704384,15.559732104309983,99.18701604614134,0.0006596367559300639,0.0,113.31861894568863,0.000639839847316674,0.0016187116714706721,329.4216177199698,342.0,603.1857894892403,22663.723789137726,27600.0,603.1857894892403,0.0,16.0,0.021854557590189866,138.0,27600.0,603.1857894892403,0.0,16.0,0.021854557590189866,138.0,145.86981855051286,0.0,0.0,0.0,1000.0,101.68232475315536
8,6236,23,SSTS4-12,1,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,2650.0,2400.0,800.0,800.0,140.0,800,[4],"[14,45]",65.0,"[0,0]",2,31.57052631578948,"[1,100x200,0]",[59],1.9720470001969823,"[3,600x100x100,3]",[59],27548.92456318521,"[1,100x200,1]",[59],"[0,0,0,0,00.6,20,0,0,0]",200000.0,2,500.0,[12],[114],[4],[94],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,2,0,2,3,1,320.0,1,0.0,13.941333333333333,150.00155806688244,59,1,0.0,0,0,0,0,0.096,0.0,0.125,0.0,0.0,0,-1,0,0,0,112000.0,452.3893421169302,14,0.5,CN,27.022543328628053,1.0,19.022543328628053,38.03677869372227,1.9720470001969823,3.0059418834289553,3.0059418834289553,2.563661100256077,2.563661100256077,3.907724448457642,3.907724448457642,27548.92456318521,0.0,2.1969318808018827,2.1969318808018827,0.0,2.211189687836003,2.211189687836003,0.0,4.408121568637886,4.408121568637886,27548.92456318521,-2.9518761022598767e-05,-2.9518761022598767e-05,-0.00015261929234284464,-0.00015261929234284464,-0.00018213805336544342,-0.00018213805336544342,-0.00031999999999999997,1,0,7.25981152336046,0.0,200.0,26.0,20.0,114.0,100.0,0.0,114.00000000000001,114.00000000000001,452.3893421169302,0.004960409453036514,0.004960409453036514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.08508523419539,183065203.24946618,2656394.539144125,2575296.950778683,25.0,2.8,1.941333333333333,0.0,0.0,0.0,0.0,1.9720470001969823,2732073.804448394,0.0,10.676191600633674,2,0.0,8.212455077410517,3.5496846003545683,14.046913877207485,26.763236510552133,0.0004498683425573064,0.0,36.51720642611716,0.0003534744688150928,0.0010016791827720183,293.27587629835597,114.00000000000001,452.3893421169302,29213.765140893724,41280.0,452.3893421169302,0.0,12.0,0.010959044140429511,86.0,33600.0,452.3893421169302,0.0,12.0,0.013463968515384828,70.0,192.29163197522053,0.0,0.0,0.0,1000.0,152.0813900655889
9,6237,23,SSTS4-12,2,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,2650.0,2400.0,800.0,800.0,140.0,800,[4],"[14,45]",65.0,"[0,0]",2,31.57052631578948,"[1,100x200,0]",[59],1.9720470001969823,"[3,600x100x100,3]",[59],27548.92456318521,"[1,100x200,1]",[59],"[0,0,0,0,00.6,20,0,0,0]",200000.0,2,500.0,[12],[114],[4],[94],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,2,0,2,3,1,320.0,1,0.0,17.941333333333333,266.3423794274293,59,1,0.0,0,0,0,0,0.133,0.0,0.175,0.0,0.0,0,-1,0,0,0,112000.0,452.3893421169302,14,0.5,CN,27.022543328628053,1.0,19.022543328628053,38.03677869372227,1.9720470001969823,3.0059418834289553,3.0059418834289553,2.563661100256077,2.563661100256077,3.907724448457642,3.907724448457642,27548.92456318521,0.0,2.1969318808018827,2.1969318808018827,0.0,2.211189687836003,2.211189687836003,0.0,4.408121568637886,4.408121568637886,27548.92456318521,-2.9518761022598767e-05,-2.9518761022598767e-05,-0.00015261929234284464,-0.00015261929234284464,-0.00018213805336544342,-0.00018213805336544342,-0.00031999999999999997,1,0,7.25981152336046,0.0,200.0,26.0,20.0,114.0,100.0,0.0,114.00000000000001,114.00000000000001,452.3893421169302,0.004960409453036514,0.004960409453036514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.08508523419539,183065203.24946618,2656394.539144125,2575296.950778683,25.0,2.8,1.941333333333333,0.0,0.0,0.0,0.0,1.9720470001969823,2732073.804448394,0.0,10.676191600633674,2,0.0,8.212455077410517,3.5496846003545683,14.046913877207485,26.763236510552133,0.0005789430391594409,0.0,32.68922651564853,0.0005353857796897998,0.0017575411918520638,377.42159444057745,114.00000000000001,452.3893421169302,26151.381212518823,41280.0,452.3893421169302,0.0,12.0,0.010959044140429511,86.0,33600.0,452.3893421169302,0.0,12.0,0.013463968515384828,70.0,192.29163197522053,0.0,0.0,0.0,1000.0,152.0813900655889
14,6242,23,STN12,4,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,1100.0,1100.0,600.0,600.0,100.0,100,[3],[32],65.0,[0],2,20.879157894736842,"[1,100x200,0]",[32],2.04,"[1,100x200,2]",[32],22162.558834093215,"[1,100x200,1]",[32],"[0,0,0,0,00.6,20,0,0,0]",200000.0,2,500.0,[12],[50],[1],[44],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,1a,0,2,3,2,28.0,1,23.976635132197302,0.0,180.97133766818618,32,1,0.0,0,0,0,4,0.125,0.0,0.25,228.0,320.0,0,-1,0,0,0,10000.0,113.09733552923255,32,0.5,CN,20.215681292221202,1.0,12.215681292221202,25.15561192136969,2.000854044904731,3.3284446157506355,3.3284446157506355,2.6011102583761505,2.6011102583761505,4.326978000475826,4.326978000475826,22162.558834093215,0.0,2.5575567156481287,2.5575567156481287,0.0,4.172764124512616,4.172764124512616,0.0,6.730320840160745,6.730320840160745,22162.558834093215,-1.5118960763565885e-05,-1.5118960763565885e-05,-0.0,-0.0,-1.5118960763565885e-05,-1.5118960763565885e-05,-2.8e-05,1,0,9.024228722738235,0.0,100.0,50.0,44.0,50.0,50.0,0.0,50.0,0.0,0.0,0.011309733552923255,0.011309733552923255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8333333.333333336,166666.66666666672,166666.66666666672,25.0,0.25,0.0,0.0,0.0,0.0,0.0,2.04,166666.66666666672,28.371659273577627,0.0,1,22.251338531966418,0.0,3.672,11.423429294310237,0.0,0.0,0.0,0.0,0.0,0.0,212.0,50.0,113.09733552923255,0.0,10000.0,113.09733552923255,0.0,12.0,0.011309733552923255,100.0,10000.0,113.09733552923255,0.0,12.0,0.011309733552923255,100.0,196.74502876520077,0.0,0.0,0.0,1000.0,147.36568804805123
15,6243,23,STN12,5,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,1100.0,1100.0,600.0,600.0,100.0,100,[3],[32],65.0,[0],2,20.879157894736842,"[1,100x200,0]",[32],2.04,"[1,100x200,2]",[32],22162.558834093215,"[1,100x200,1]",[32],"[0,0,0,0,00.6,20,0,0,0]",200000.0,2,500.0,[12],[50],[1],[44],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,1a,0,2,3,2,28.0,1,38.2268994088806,0.0,312.2486234165578,32,1,0.0,0,0,0,5,0.15,0.0,0.3,195.0,320.0,0,-1,0,0,0,10000.0,113.09733552923255,32,0.5,CN,20.215681292221202,1.0,12.215681292221202,25.15561192136969,2.000854044904731,3.3284446157506355,3.3284446157506355,2.6011102583761505,2.6011102583761505,4.326978000475826,4.326978000475826,22162.558834093215,0.0,2.5575567156481287,2.5575567156481287,0.0,4.172764124512616,4.172764124512616,0.0,6.730320840160745,6.730320840160745,22162.558834093215,-1.5118960763565885e-05,-1.5118960763565885e-05,-0.0,-0.0,-1.5118960763565885e-05,-1.5118960763565885e-05,-2.8e-05,1,0,9.024228722738235,0.0,100.0,50.0,44.0,50.0,50.0,0.0,50.0,0.0,0.0,0.011309733552923255,0.011309733552923255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8333333.333333336,166666.66666666672,166666.66666666672,25.0,0.25,0.0,0.0,0.0,0.0,0.0,2.04,166666.66666666672,28.371659273577627,0.0,2,22.251338531966418,0.0,3.672,11.423429294310237,0.0,0.0,0.0,0.0,0.0,0.0,337.99999999999994,50.0,113.09733552923255,0.0,10000.0,113.09733552923255,0.0,12.0,0.011309733552923255,100.0,10000.0,113.09733552923255,0.0,12.0,0.011309733552923255,100.0,196.74502876520077,0.0,0.0,0.0,1000.0,147.36568804805123
16,6244,23,STN12,6,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,1100.0,1100.0,600.0,600.0,100.0,100,[3],[32],65.0,[0],2,20.879157894736842,"[1,100x200,0]",[32],2.04,"[1,100x200,2]",[32],22162.558834093215,"[1,100x200,1]",[32],"[0,0,0,0,00.6,20,0,0,0]",200000.0,2,500.0,[12],[50],[1],[44],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,1a,0,2,3,2,28.0,1,40.03645677734832,0.0,334.6919476817555,32,1,0.0,0,0,0,5,0.185,0.0,0.3,195.0,320.0,0,-1,0,0,0,10000.0,113.09733552923255,32,0.5,CN,20.215681292221202,1.0,12.215681292221202,25.15561192136969,2.000854044904731,3.3284446157506355,3.3284446157506355,2.6011102583761505,2.6011102583761505,4.326978000475826,4.326978000475826,22162.558834093215,0.0,2.5575567156481287,2.5575567156481287,0.0,4.172764124512616,4.172764124512616,0.0,6.730320840160745,6.730320840160745,22162.558834093215,-1.5118960763565885e-05,-1.5118960763565885e-05,-0.0,-0.0,-1.5118960763565885e-05,-1.5118960763565885e-05,-2.8e-05,1,0,9.024228722738235,0.0,100.0,50.0,44.0,50.0,50.0,0.0,50.0,0.0,0.0,0.011309733552923255,0.011309733552923255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8333333.333333336,166666.66666666672,166666.66666666672,25.0,0.25,0.0,0.0,0.0,0.0,0.0,2.04,166666.66666666672,28.371659273577627,0.0,2,22.251338531966418,0.0,3.672,11.423429294310237,0.0,0.0,0.0,0.0,0.0,0.0,354.0,50.0,113.09733552923255,0.0,10000.0,113.09733552923255,0.0,12.0,0.011309733552923255,100.0,10000.0,113.09733552923255,0.0,12.0,0.011309733552923255,100.0,196.74502876520077,0.0,0.0,0.0,1000.0,147.36568804805123
21,6249,23,STN16,4,https://doi.org/10.26190/unsworks/23066,Tension Stiffening in Reinforced Concrete - Instantaneous and time-dependent behaviour,2010,0,Australia,University of New South Wales,heavy Structure Laboratory,Mark Han Qing Wu,1100.0,1100.0,600.0,600.0,100.0,100,[3],[32],65.0,[0],2,20.879157894736842,"[1,100x200,0]",[32],2.04,"[1,100x200,2]",[32],22162.558834093215,"[1,100x200,1]",[32],"[0,0,0,0,00.6,20,0,0,0]",204000.0,2,500.0,[16],[50],[1],[42],[0],[0],0.0,0.0,0,0,0.0,0.0,0.0,0,0,[0],[0],[0],[0],[0],2,1a,0,2,3,2,28.0,1,39.408138246630365,0.0,179.31077947343238,32,1,0.0,0,0,0,4,0.131,0.0,0.25,182.0,240.0,0,-1,0,0,0,10000.0,201.06192982974676,32,0.5,CN,20.215681292221202,1.0,12.215681292221202,25.15561192136969,2.000854044904731,3.3284446157506355,3.3284446157506355,2.6011102583761505,2.6011102583761505,4.326978000475826,4.326978000475826,22162.558834093215,0.0,2.5575567156481287,2.5575567156481287,0.0,4.172764124512616,4.172764124512616,0.0,6.730320840160745,6.730320840160745,22162.558834093215,-1.5118960763565885e-05,-1.5118960763565885e-05,-0.0,-0.0,-1.5118960763565885e-05,-1.5118960763565885e-05,-2.8e-05,1,0,9.204713297192999,0.0,100.0,50.0,42.0,50.0,50.0,0.0,50.0,0.0,0.0,0.020106192982974676,0.020106192982974676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8333333.333333336,166666.66666666672,166666.66666666672,25.0,0.25,0.0,0.0,0.0,0.0,0.0,2.04,166666.66666666672,30.302038399593048,0.0,2,23.76529719803615,0.0,3.672,11.423429294310237,0.0,0.0,0.0,0.0,0.0,0.0,196.0,50.0,201.06192982974676,0.0,10000.0,201.06192982974676,0.0,16.0,0.020106192982974676,100.0,10000.0,201.06192982974676,0.0,16.0,0.020106192982974676,100.0,118.19889134735699,0.0,0.0,0.0,1000.0,110.52426603603843
