,meas_wmax,wmax_001a,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t,wmax_001b,wmax_002,wmax_006,wmax_007,wmax_012,wmax_038,wmax_047,wmax_053
0,0.1,0.2834494985930653,23,BSTS2-16,2,1,0.0,50.0,249.0925839088377,16.0,0.0145697050601265,2,2,1,1,0.2834494985930653,0.22207904450691213,0.2628029272978852,0.19986589048494582,0.17682668374175606,0.405580870872284,0.24212433975862305,0.20869809464010397
1,0.125,0.4052247283291962,23,BSTS2-16,3,1,0.0,50.0,328.7889001422766,16.0,0.0145697050601265,2,2,1,1,0.4052247283291962,0.33096698634120475,0.37557047446035824,0.29786246420987694,0.2393338749253197,0.5194793797159521,0.3182535483707572,0.27538908615722785
2,0.075,0.24358348815495978,23,BSTS3-16,2,1,0.0,50.0,222.8746642367984,16.0,0.0218545575901898,2,2,1,1,0.24358348815495978,0.19578812257277786,0.19474234428896384,0.17284907316943474,0.1136514408001727,0.3244018531482516,0.1884082042546986,0.16171152669402852
3,0.125,0.2986682187813904,23,BSTS3-16,3,1,0.0,50.0,266.1794413816605,16.0,0.0218545575901898,2,2,1,1,0.2986682187813904,0.24414056576488552,0.2387182160762058,0.2155364174342885,0.136411776980828,0.37894242718534216,0.22431338987761584,0.19308098486265265
4,0.175,0.3813844388749238,23,BSTS3-16,4,1,0.0,50.0,331.3017177657106,16.0,0.0218545575901898,2,2,1,1,0.3813844388749238,0.3168535867525504,0.3047021265742036,0.2797301903757275,0.170639060922096,0.4609612382903326,0.27827711785004705,0.240217844088915
5,0.125,0.18750977810367164,23,SSTS4-12,1,1,0.0,20.0,294.34593170578387,12.0,0.0109590441404295,2,2,1,1,0.18750977810367164,0.182495997541618,0.2583726849234907,0.3564265914853157,0.16502972359984308,0.43115148154563715,0.2648669166550256,0.18531036241547966
6,0.075,0.24765741164342794,23,STN12,1,2,0.0,44.0,158.0,12.0,0.0113097335529232,1,1a,1,1,0.23112991285894738,0.1104854612878636,0.08296347335164299,0.12753785246950675,0.1149800108232625,,,
7,0.125,0.27062646259964035,23,STN12,3,2,0.0,44.0,173.0,12.0,0.0113097335529232,1,1a,1,1,0.25256611664842105,0.12061554636926917,0.11104990416867647,0.13923142084996273,0.14236870760305764,,,
8,0.25,0.33034599508579254,23,STN12,4,2,0.0,44.0,212.0,12.0,0.0113097335529232,1,1a,1,1,0.3083002465010526,0.16601349352219433,0.1840746242929635,0.19163611391019106,0.213579319230525,,,
9,0.3,0.572460074946142,23,STN12,5,2,0.0,44.0,337.99999999999994,12.0,0.0113097335529232,2,1a,1,1,0.5342567636458598,0.37874528023171156,0.4200006431560445,0.37162089241480184,0.3652672032463366,,,
10,0.25,0.2625547123592275,23,STN16,4,2,0.0,42.0,196.0,16.0,0.0201061929829746,2,1a,1,1,0.2625547123592275,0.17542716138735184,0.18708906681293044,0.17032490681902152,0.17168450094082283,,,
11,0.325,0.47129002677833515,23,STN16,5,2,0.0,42.0,299.0,16.0,0.0201061929829746,2,1a,1,1,0.47129002677833515,0.31488215690019183,0.3358279518806011,0.3057238890993338,0.283740381972505,,,
12,0.35,0.48023888724368274,23,STS12,5,2,0.0,44.0,265.0,12.0,0.0113097335529232,2,1a,1,1,0.42046179833072383,0.3177304568581611,0.2946970045296044,0.26766155254564533,0.24523875417907454,,,
13,0.325,0.4515759145358055,23,STS16,7,2,0.0,42.0,249.0,16.0,0.0201061929829746,2,1a,1,1,0.4515759145358055,0.301706051062314,0.23761326336522007,0.22855391137525602,0.17803090290247103,,,
14,0.101,0.16547363121295133,24,12-20-00,3,1,0.0,32.0,193.62669534152332,12.0,0.0131891936477239,2,2,1,1,0.16547363121295133,0.14598737981746449,0.1793845170330676,0.13496962756933914,0.15020042534223296,0.2640842093205693,0.14869755073531535,0.1250626439132723
15,0.344,0.27766814071129436,24,12-20-00,4,1,0.0,32.0,280.3513728347209,12.0,0.0131891936477239,2,2,1,1,0.27766814071129436,0.24668421269171095,0.30101089189772307,0.22806681204817952,0.2349295244901261,0.3698001100482479,0.2207980128676475,0.18103305908686554
16,0.077,0.14655851145534957,24,12-20-00,2,2,0.0,32.0,172.27922824209162,12.0,0.0131891936477239,2,2,1,1,0.14655851145534957,0.1351350696044331,0.16662771425602768,0.12493634750395807,0.12934417417236257,0.23806201151132503,0.1459848564769068,0.1335848435211453
17,0.105,0.16547363121295133,24,12-20-00,3,2,0.0,32.0,193.62669534152332,12.0,0.0131891936477239,2,2,1,1,0.16547363121295133,0.1627854068925056,0.20002538323487443,0.1504998977957984,0.15020042534223296,0.2640842093205693,0.16580742342682664,0.15015039808954633
18,0.37,0.27766814071129436,24,12-20-00,4,2,0.0,32.0,280.3513728347209,12.0,0.0131891936477239,2,2,1,1,0.27766814071129436,0.27516724003460485,0.33576666881136996,0.25440020879332603,0.2349295244901261,0.3698001100482479,0.2462921284786266,0.2174799165490548
19,0.114,0.26438582056154747,24,12-70-00,1,1,0.0,82.0,171.97497088371964,12.0,0.0107711748123078,2,2,1,1,0.257093479844585,0.15437503897167867,0.17931704058848164,0.14978180919650258,0.12980362218947092,0.46648934221390204,0.1436756440381811,0.17371404520232891
20,0.285,0.3348082124958952,24,12-70-00,2,1,0.0,82.0,221.4996219822224,12.0,0.0107711748123078,2,2,1,1,0.32580310914478844,0.24897720220409483,0.2943668751866077,0.24156920732278706,0.18034672146659256,0.584970094138358,0.1904768202956714,0.2236545259146054
21,0.408,0.4196108214747512,24,12-70-00,3,1,0.0,82.0,271.1349116015821,12.0,0.0107711748123078,2,2,1,1,0.4086220059762279,0.34379070752934227,0.40941646864755604,0.33356165933106247,0.23100273448706238,0.7037155331398994,0.23737291140004052,0.273665044408689
22,0.137,0.26438582056154747,24,12-70-00,1,2,0.0,82.0,171.97497088371964,12.0,0.0107711748123078,2,2,1,1,0.257093479844585,0.2018691883921459,0.2344847048435026,0.195862831580903,0.12980362218947092,0.46648934221390204,0.18787807826255795,0.27374866976094103
23,0.33,0.3348082124958952,24,12-70-00,2,2,0.0,82.0,221.4996219822224,12.0,0.0107711748123078,2,2,1,1,0.32580310914478844,0.3257471278240499,0.38513230637066337,0.3160549430209484,0.18034672146659256,0.584970094138358,0.24920866882225812,0.35276689156402163
24,0.478,0.4196108214747512,24,12-70-00,3,2,0.0,82.0,271.1349116015821,12.0,0.0107711748123078,2,2,1,1,0.4086220059762279,0.45004011101152147,0.5359476826009478,0.4366497491260039,0.23100273448706238,0.7037155331398994,0.3107336209443202,0.43205232534882865
25,0.25,0.17560257803205567,24,25-20-00,11,1,0.0,32.0,190.04776739191217,25.0,0.0360191774087341,2,2,1,1,0.17560257803205567,0.16345438172899834,0.11371828747989582,0.1154352184813785,0.06943771645948371,0.24255144342503332,0.18886377400810397,0.13126217303050475
26,0.363,0.2557697187571006,24,25-20-00,12,1,0.0,32.0,279.5256344266372,25.0,0.0360191774087341,2,2,1,1,0.2557697187571006,0.24173228819344458,0.1654668922693271,0.17071686428008018,0.10077536138796575,0.3444127186921012,0.2798750186598734,0.19261119686855807
27,0.287,0.17560257803205567,24,25-20-00,11,2,0.0,32.0,190.04776739191217,25.0,0.0360191774087341,2,2,1,1,0.17560257803205567,0.19255001551402984,0.1339606671100834,0.13598321974816516,0.06943771645948371,0.24255144342503332,0.22248239680470444,0.1729770441153851
28,0.43,0.2557697187571006,24,25-20-00,12,2,0.0,32.0,279.5256344266372,25.0,0.0360191774087341,2,2,1,1,0.2557697187571006,0.285712668053974,0.1955716698757124,0.2017768132664067,0.10077536138796575,0.3444127186921012,0.3307950249450237,0.2552672996951411
29,0.368,0.17240655687629958,27,16-20T,4,2,0.0,32.0,150.0,15.36842105263158,0.0116488260933107,1,1a,1,1,0.17240655687629958,0.12451201308171016,0.11802246852882764,0.13424280179238432,0.1256890107518531,,,
30,0.458,0.3052769346268131,27,16-20T,5,2,0.0,32.0,226.9,15.36842105263158,0.0116488260933107,1,1a,1,1,0.3052769346268131,0.2290434387979867,0.2089753899771459,0.24694350525219158,0.2690284578756485,,,
31,0.497,0.4103291968794948,27,16-20T,6,2,0.0,32.0,287.7,15.36842105263158,0.0116488260933107,2,1a,1,1,0.4103291968794948,0.3390773108236968,0.28088615231859915,0.3107401770898167,0.3156259899011907,,,
32,0.45,0.41858277001616107,27,16-70T,4,2,0.0,82.0,194.1,15.36842105263158,0.0116488260933107,1,1a,1,1,0.3236220588828884,0.2389031111685274,0.22995578213813436,0.26246806662942035,0.2123914791365705,,,
