,meas_wmax,wmax_001a,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t,wmax_001b,wmax_002,wmax_006,wmax_007,wmax_012,wmax_038,wmax_047,wmax_053
0,0.1,0.22862096691191672,23,BSTS2-16,2,1,0.0,50.0,249.0925839088377,16.0,0.0145697050601265,2,2,1,1,0.22862096691191672,0.16527946947879105,0.2423653228215652,0.16527946947879105,0.18124681458889158,0.34144032688617804,0.19920286619071192,0.20869809464010397
1,0.125,0.34959250123516394,23,BSTS2-16,3,1,0.0,50.0,328.7889001422766,16.0,0.0145697050601265,2,2,1,1,0.34959250123516394,0.2741674113130836,0.37190141736446514,0.2741674113130836,0.25457026617604406,0.4553388357298462,0.2753441049088749,0.27538908615722785
2,0.075,0.19780028126159518,23,BSTS3-16,2,1,0.0,50.0,222.8746642367984,16.0,0.0218545575901898,2,2,1,1,0.19780028126159518,0.1492311883945891,0.1878835403469862,0.1492311883945891,0.1260042682357169,0.2678773511378787,0.15115071833616606,0.16171152669402852
3,0.125,0.2529388489878168,23,BSTS3-16,3,1,0.0,50.0,266.1794413816605,16.0,0.0218545575901898,2,2,1,1,0.2529388489878168,0.19758363158669667,0.24016528023599834,0.19758363158669667,0.1550061238930892,0.32241792517496926,0.18706331311346425,0.19308098486265265
4,0.175,0.3357402694106923,23,BSTS3-16,4,1,0.0,50.0,331.3017177657106,16.0,0.0218545575901898,2,2,1,1,0.3357402694106923,0.27029665257436153,0.31859056216668713,0.27029665257436153,0.1986194844572551,0.4044367362799597,0.2410387223516086,0.240217844088915
5,0.125,0.1516270398232458,23,SSTS4-12,1,1,0.0,20.0,294.34593170578387,12.0,0.0109590441404295,2,2,1,1,0.1516270398232458,0.1447662527426827,0.2706261306295589,0.2908600028613766,0.18241705199370956,0.3477297706661537,0.21161829313693392,0.18531036241547966
6,0.075,0.24194067007210396,23,STN12,1,2,0.0,44.0,158.0,12.0,0.0113097335529232,1,1a,1,1,0.22579467991578947,0.10670356285747219,0.07408397132153148,0.12553360336173197,0.10641328973708843,,,
7,0.125,0.2649097210283164,23,STN12,3,2,0.0,44.0,173.0,12.0,0.0113097335529232,1,1a,1,1,0.2472308837052632,0.11683364793887777,0.1027932454993806,0.13745135051632676,0.13442186652226001,,,
8,0.25,0.3246292535144686,23,STN12,4,2,0.0,44.0,212.0,12.0,0.0113097335529232,1,1a,1,1,0.30296501355789474,0.15655874744621578,0.17743735836178834,0.1841867617014303,0.20724416616370608,,,
9,0.3,0.5581666648231179,23,STN12,5,2,0.0,44.0,337.99999999999994,12.0,0.0113097335529232,2,1a,1,1,0.5209172289464168,0.369290534155733,0.4185952614557209,0.369290534155733,0.3672516056943701,,,
10,0.25,0.25097784976214177,23,STN16,4,2,0.0,42.0,196.0,16.0,0.0201061929829746,2,1a,1,1,0.25097784976214177,0.1676935018303679,0.18521595568121538,0.1676935018303679,0.1733559618521712,,,
11,0.325,0.45971316418124936,23,STN16,5,2,0.0,42.0,299.0,16.0,0.0201061929829746,2,1a,1,1,0.45971316418124936,0.3071484973432079,0.33925787922623796,0.3071484973432079,0.2897657602697797,,,
12,0.35,0.4057865668930858,23,STS12,5,2,0.0,44.0,265.0,12.0,0.0113097335529232,2,1a,1,1,0.35527683031578944,0.2336507506824945,0.2648284855838445,0.2336507506824945,0.24927039582207144,,,
13,0.325,0.34862465467297077,23,STS16,7,2,0.0,42.0,249.0,16.0,0.0201061929829746,2,1a,1,1,0.34862465467297077,0.23293172143056418,0.257277081027204,0.23293172143056418,0.221737761533908,,,
14,0.101,0.15029529820735,24,12-20-00,3,1,0.0,32.0,193.62669534152332,12.0,0.0131891936477239,1,2,1,1,0.15029529820735,0.12257165179877137,0.16690190424453485,0.14420194329267222,0.16895116067871233,0.23385343286997862,0.12802968345695062,0.1250626439132723
15,0.344,0.2519497509079909,24,12-20-00,4,1,0.0,32.0,280.3513728347209,12.0,0.0131891936477239,2,2,1,1,0.2519497509079909,0.22326848467301788,0.3008895607515795,0.22326848467301788,0.24048780568700734,0.33956933359765723,0.20014644821393202,0.18103305908686554
16,0.077,0.13372514537784688,24,12-20-00,2,2,0.0,32.0,172.27922824209162,12.0,0.0131891936477239,1,2,1,1,0.13372514537784688,0.10902723610640375,0.14931739406707842,0.12826733659576908,0.1383138253928091,0.2078312350607343,0.12293645930088129,0.1335848435211453
17,0.105,0.15029529820735,24,12-20-00,3,2,0.0,32.0,193.62669534152332,12.0,0.0131891936477239,1,2,1,1,0.15029529820735,0.13667534985899205,0.1861064595278828,0.16079452924587298,0.16895116067871233,0.23385343286997862,0.14276140952675104,0.15015039808954633
18,0.37,0.2519497509079909,24,12-20-00,4,2,0.0,32.0,280.3513728347209,12.0,0.0131891936477239,2,2,1,1,0.2519497509079909,0.2490478496528739,0.33563132834409704,0.2490478496528739,0.24048780568700734,0.33956933359765723,0.223256061491799,0.2174799165490548
19,0.114,0.2453626888727218,24,12-70-00,1,1,0.0,82.0,171.97497088371964,12.0,0.0107711748123078,1,2,1,1,0.23859504784458505,0.13140287841764126,0.15050719374763755,0.15459162166781323,0.13787716306382047,0.418642159327625,0.12476784057518699,0.17371404520232891
20,0.285,0.3157984892057946,24,12-70-00,2,1,0.0,82.0,221.4996219822224,12.0,0.0107711748123078,1,2,1,1,0.3073046771447885,0.22036981450561538,0.27085416313512567,0.259258605300724,0.2089536675294298,0.5371229112520811,0.17157089695726668,0.2236545259146054
21,0.408,0.386283849377646,24,12-70-00,3,1,0.0,82.0,271.1349116015821,12.0,0.0107711748123078,2,2,1,1,0.3761678043815907,0.3151833198308629,0.3911962916654365,0.3151833198308629,0.23056738474313151,0.6558683502536223,0.21846889603346134,0.273665044408689
22,0.137,0.2453626888727218,24,12-70-00,1,2,0.0,82.0,171.97497088371964,12.0,0.0107711748123078,1,2,1,1,0.23859504784458505,0.17182954313894946,0.19681138383122296,0.20215240369288176,0.13787716306382047,0.418642159327625,0.16315320716436787,0.27374866976094103
23,0.33,0.3157984892057946,24,12-70-00,2,2,0.0,82.0,221.4996219822224,12.0,0.0107711748123078,1,2,1,1,0.3073046771447885,0.288318904296621,0.35436965681753,0.3391987109372011,0.2089536675294298,0.5371229112520811,0.22447327067404274,0.35276689156402163
24,0.478,0.386283849377646,24,12-70-00,3,2,0.0,82.0,271.1349116015821,12.0,0.0107711748123078,2,2,1,1,0.3761678043815907,0.41259153647588054,0.512096513002413,0.41259153647588054,0.23056738474313151,0.6558683502536223,0.2859872709476069,0.43205232534882865
25,0.25,0.15011568147187343,24,25-20-00,11,1,0.0,32.0,190.04776739191217,25.0,0.0360191774087341,2,2,1,1,0.15011568147187343,0.13385936449606595,0.15203987337794303,0.13385936449606595,0.11592106169659304,0.20430132680518537,0.15430945899086754,0.13126217303050475
26,0.363,0.23064340684466195,24,25-20-00,12,1,0.0,32.0,279.5256344266372,25.0,0.0360191774087341,2,2,1,1,0.23064340684466195,0.21213727096051227,0.2325241605148021,0.21213727096051227,0.174544744217775,0.30616260207225326,0.24544470732453205,0.19261119686855807
27,0.287,0.15011568147187343,24,25-20-00,11,2,0.0,32.0,190.04776739191217,25.0,0.0360191774087341,2,2,1,1,0.15011568147187343,0.15768694872401218,0.17910367203377547,0.15768694872401218,0.11592106169659304,0.20430132680518537,0.1817772543529303,0.1729770441153851
28,0.43,0.23064340684466195,24,25-20-00,12,2,0.0,32.0,279.5256344266372,25.0,0.0360191774087341,2,2,1,1,0.23064340684466195,0.2507331814578026,0.2748292285825316,0.2507331814578026,0.174544744217775,0.30616260207225326,0.29010051869157183,0.2552672996951411
29,0.368,0.15550499346614066,27,16-20T,4,2,0.0,32.0,150.0,15.36842105263158,0.0116488260933107,1,1a,1,1,0.15550499346614066,0.10858605792010868,0.10792197989300745,0.127748303435422,0.08894106580153681,,,
30,0.458,0.2777388217279497,27,16-20T,5,2,0.0,32.0,226.9,15.36842105263158,0.0116488260933107,1,1a,1,1,0.2777388217279497,0.1892285508939613,0.20689899540200685,0.22262182458113097,0.2456884082872785,,,
31,0.497,0.3827910839806314,27,16-20T,6,2,0.0,32.0,287.7,15.36842105263158,0.0116488260933107,2,1a,1,1,0.3827910839806314,0.2992624229196714,0.28515390493317927,0.2992624229196714,0.31786551079589315,,,
32,0.45,0.3879368883979406,27,16-70T,4,2,0.0,82.0,194.1,15.36842105263158,0.0116488260933107,1,1a,1,1,0.29992857693381814,0.19000585894862065,0.17669291941349197,0.2235363046454361,0.18331649302428804,,,
33,0.31,0.2911256945657277,27,25-20T,6,2,0.0,32.0,251.3,23.607142857142858,0.0263694316701314,2,1a,1,1,0.2911256945657277,0.2458000349781576,0.21171505481122813,0.2458000349781576,0.252605957222848,,,
34,0.384,0.3875139073090027,27,25-20T,7,2,0.0,32.0,320.8,23.607142857142858,0.0263694316701314,2,1a,1,1,0.3875139073090027,0.34026439776595735,0.28181040414084224,0.34026439776595735,0.33675188840402154,,,
35,0.392,0.4844422700833214,27,25-70T,6,2,0.0,82.0,245.7,23.607142857142858,0.0263694316701314,2,1a,1,1,0.4844422700833214,0.34274926739419287,0.33998980787194544,0.34274926739419287,0.24432639555223246,,,
