,meas_smax,smax_007,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
1,258.1826581010427,188.4138373148995,1,2-16R,4,2,2.2407371150845345,35.049999999999976,258.4822451666737,12.7,0.0174539033302085,2,2,1,1
3,231.3220122768291,194.89548825571993,1,2-16T,4,2,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
6,312.07666388801704,202.7771194277723,1,2-24R,3,2,2.109796622656963,35.049999999999976,328.63244857749464,12.7,0.0153020522347034,2,2,1,1
8,282.0232429555187,167.3055828897168,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
9,169.2200684211645,134.6620232237011,1,2-4.75T,4,2,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
13,218.7776356012505,138.34738955818125,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
15,219.43005711440247,144.96188310111256,1,2-8T,4,2,3.094966785939449,35.049999999999976,222.84963810990325,12.7,0.0349078066604171,2,2,1,1
21,160.0,158.58894623116362,2,R17,6,2,4.355435903816773,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
26,220.0,171.72119993813686,2,R18,7,2,2.7110686753084736,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
30,170.0,186.728604298757,2,R19,5,2,2.5743418404229934,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
35,170.0,161.95884459309693,2,R21,7,2,5.6613871276362335,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
39,220.0,213.80912345646556,2,R25,7,2,4.687328608002288,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
43,220.0,213.80743359069496,2,R26,7,2,4.723270193592196,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
47,330.0,213.8613816406523,2,R29,5,2,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
52,350.0,207.1642961283062,2,R33,7,2,5.071984905953981,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
57,180.0,212.25371315125375,2,R49,7,2,5.34192928468556,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
60,220.0,190.52754845725462,2,R58,7,2,4.458818050780047,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
64,210.0,247.67098191985394,2,R61,6,2,5.871478574272209,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
68,280.0,228.56610305783101,2,R66,6,2,4.518927379356784,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
72,280.0,239.61628617175649,2,R67,6,2,4.60444127780043,27.5,299.19484198488755,26.0,0.0249702132137178,2,2,1,1
76,300.0,184.80393871185316,2,R68,7,2,6.457702669328033,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
83,180.0,161.16627419548956,3,T12,11,2,9.058714932140395,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
88,200.0,176.14197965733624,3,T21,7,2,5.701301242670252,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
93,210.0,142.33215619730444,3,T27,6,2,7.956016272414919,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,14,1
97,170.0,223.18017978661135,3,T7,6,2,9.785344513866916,40.0,303.275932890277,32.0,0.0410330469040299,2,2,14,1
101,300.0,214.62145009328913,4,PL 15/210,4,2,2.248269440915533,15.0,341.58162732875564,10.0,0.0112199737628206,2,2,1,1
104,280.0,144.95946059302634,4,PL 15/221,3,2,2.3340639589944043,16.0,292.92455816193325,8.0,0.0110647288428319,2,2,14,1
107,250.0,145.6945874261901,4,PL 15/239,5,2,1.3936780703573353,16.5,243.8584970581364,8.0,0.0109732848028085,2,2,14,1
112,240.0,340.32362049785763,4,PL 15/255,7,2,5.119245400764625,16.0,327.3509133740737,12.0,0.0122399713776225,2,2,1,1
116,320.0,257.3385973456745,4,PL 30/204,5,2,2.9672875820756213,16.0,291.26478872263954,16.0,0.0161729351536154,2,2,1,1
120,300.0,333.54162606540046,4,PL 30/240,5,2,3.768512058751264,16.600000000000023,309.1558711714947,16.0,0.0147798357686636,2,2,1,1
125,320.0,231.18686675752826,4,PL 30/256,7,2,5.972756862667964,17.0,328.204281362172,16.0,0.0159572960182338,2,2,1,1
