,meas_smax,smax_001a,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
20,160.0,177.7945670084485,2,R17,6,2,0.0,30.0,314.18392933486166,16.0,0.028519422670886,2,2,14,1
25,220.0,640.364475779018,2,R18,7,2,0.0,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
29,170.0,218.96504957608198,2,R19,5,2,0.0,33.0,310.0446014718505,10.0,0.0147078307752331,2,2,14,1
34,170.0,157.60616986932635,2,R21,7,2,0.0,19.0,347.07577016090784,21.33333333333333,0.0264772911709954,2,2,1,1
38,220.0,228.07087193766455,2,R25,7,2,0.0,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
42,220.0,228.07087193766455,2,R26,7,2,0.0,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
46,330.0,228.07087193766455,2,R29,5,2,0.0,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
51,350.0,216.19780812661037,2,R33,7,2,0.0,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
56,180.0,216.19780812661037,2,R49,7,2,0.0,33.0,343.3034025241195,16.0,0.022155584554242,2,2,1,1
59,220.0,186.51514859897497,2,R58,7,2,0.0,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
63,210.0,578.4941790999271,2,R61,6,2,0.0,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
67,280.0,586.5181374417411,2,R66,6,2,0.0,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
71,280.0,586.9638929998439,2,R67,6,2,0.0,27.5,299.19484198488755,26.0,0.0249702132137178,2,2,1,1
75,300.0,180.5315348731162,2,R68,7,2,0.0,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
82,180.0,154.3318720844069,3,T12,11,2,0.0,25.0,291.9789584534265,32.0,0.0560451372347726,2,2,1,1
87,200.0,191.71391462510968,3,T21,7,2,0.0,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
92,210.0,169.1244091991212,3,T27,6,2,0.0,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,14,1
96,170.0,230.69719113967773,3,T7,6,2,0.0,40.0,303.275932890277,32.0,0.0410330469040299,2,2,14,1
100,300.0,157.98488985697662,4,PL 15/210,4,2,0.0,15.0,341.58162732875564,10.0,0.0112199737628206,2,2,1,1
103,280.0,157.2591322918985,4,PL 15/221,3,2,0.0,16.0,292.92455816193325,8.0,0.0110647288428319,2,2,14,1
106,250.0,161.92633354845515,4,PL 15/239,5,2,0.0,16.5,243.8584970581364,8.0,0.0109732848028085,2,2,14,1
111,240.0,146.25836775167028,4,PL 15/255,7,2,0.0,16.0,327.3509133740737,12.0,0.0122399713776225,2,2,1,1
115,320.0,304.2610653489454,4,PL 30/204,5,2,0.0,16.0,291.26478872263954,16.0,0.0161729351536154,2,2,1,1
119,300.0,299.1929070313968,4,PL 30/240,5,2,0.0,16.600000000000023,309.1558711714947,16.0,0.0147798357686636,2,2,1,1
124,320.0,291.8620915075966,4,PL 30/256,7,2,0.0,17.0,328.204281362172,16.0,0.0159572960182338,2,2,1,1
135,400.0,369.45505161942975,11,1B2c,7,2,0.0,45.0,290.7684,10.0,0.0157079632679489,2,1a,1,1
139,250.0,255.18281719490153,11,2A2b,6,2,0.0,22.0,291.55319999999995,6.0,0.0113097335529232,2,1a,1,1
141,230.0,206.68711289617613,11,2A2d,8,2,0.0,21.0,272.1294,8.0,0.0201061929829746,2,1a,1,1
146,140.0,255.18281719490153,11,3A2b,5,2,0.0,22.0,291.2589,6.0,0.0113097335529232,2,1a,1,1
148,190.0,206.68711289617613,11,3A2d,6,2,0.0,21.0,279.1926,8.0,0.0201061929829746,2,1a,1,1
1100,265.0,291.75190033433546,21,B1-a,8,2,0.0,40.0,344.58586497226656,16.0,0.0125663706143591,2,2,1,1
1107,265.0,291.95579276712925,21,B1-b,7,2,0.0,40.0,344.41896844652706,16.0,0.0125663706143591,2,2,1,1
1114,266.0,339.03680617153634,21,B2-a,7,2,0.0,25.0,343.5769762955359,16.0,0.0157460983498901,2,2,1,1
1122,266.0,339.3960329979896,21,B2-b,8,2,0.0,25.0,343.44946952020194,16.0,0.0157460983498901,2,2,1,1
1131,191.0,178.00616986932633,21,B3-a,9,2,0.0,25.0,321.8951306073301,16.0,0.0213517093624509,2,2,1,1
1141,191.0,178.00616986932633,21,B3-b,11,2,0.0,25.0,321.86114466660456,16.0,0.0213517093624509,2,2,1,1
1150,179.0,187.1951170785768,21,S2-a,5,2,0.0,25.0,348.78186739506776,12.0,0.0112303722556499,2,2,1,1
1155,179.0,187.21569972121594,21,S2-b,5,2,0.0,25.0,348.75365943926323,12.0,0.0112303722556499,2,2,1,1
1161,152.0,159.0219454469298,21,S3-a,7,2,0.0,25.0,330.9740386455995,12.0,0.0124282786295859,2,2,1,1
1167,152.0,159.03849169715556,21,S3-b,7,2,0.0,25.0,330.944503190741,12.0,0.0124282786295859,2,2,1,1
1174,320.0,510.35841936571626,23,STN12,5,2,0.0,44.0,337.99999999999994,12.0,0.0113097335529232,2,1a,1,1
1176,240.0,413.36881452428725,23,STN16,5,2,0.0,42.0,299.0,16.0,0.0201061929829746,2,1a,1,1
1178,145.0,413.36881452428725,23,STS16,7,2,0.0,42.0,249.0,16.0,0.0201061929829746,2,1a,1,1
