Ncrack,ratio
2,0.930579783
5,0.833289515
6,0.915788492
6,0.896161774
6,0.903292962
6,0.895776134
6,0.886562799
7,0.701803358
7,0.791578452
2,0.859381983
5,0.913082495
5,0.900210667
5,0.85822161
5,0.935476506
6,0.604732135
6,0.69420011
6,0.825863026
6,0.843400667
5,0.826353716
5,1.001491202
5,0.844171134
6,0.947669848
7,0.810337086
7,0.861394269
7,0.857084527
7,0.855224284
7,0.823739646
6,0.858128701
6,0.886738169
6,0.871968585
6,0.902447012
6,0.926877407
7,0.670764
7,0.800484286
7,0.793230833
7,0.945780327
9,0.969893817
9,0.884230965
10,0.830351339
10,0.923323834
10,0.962896802
10,1.008987762
11,0.943790174
11,0.960978543
11,0.90017895
5,0.907799588
8,0.841366413
9,0.972983772
9,1.046589329
9,0.96521727
11,0.856297283
11,1.065655964
11,0.968592981
12,0.969465826
2,0.918885943
8,0.892899062
9,0.845939034
10,0.761843063
6,0.808853036
8,1.075114097
9,0.992562965
7,1.045390629
10,0.988366416
10,0.903306101
10,1.015663176
12,0.974454542
7,1.141491906
8,0.891760283
8,1.038209255
9,0.850182609
9,0.955049124
6,0.796125145
8,1.074133543
11,0.821992527
13,0.872671001
13,0.894778649
14,0.791500565
14,0.936952813
6,0.797866008
9,0.808438089
10,0.950963106
10,0.904295612
10,0.967953065
10,0.977387171
10,0.990739484
