,meas_smax,smax_047,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
1,258.1826581010427,164.91177460964298,1,2-16R,4,2,2.2407371150845345,35.049999999999976,258.48224516667364,12.7,0.0174539033302085,2,2,1,1
3,231.3220122768291,165.35596292629728,1,2-16T,4,2,1.9891471128381657,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
6,312.07666388801704,192.08346016630068,1,2-24R,3,2,2.109796622656963,35.049999999999976,328.6324485774948,12.7,0.0153020522347034,2,2,1,1
8,282.0232429555187,154.75750320116936,1,2-32R1,3,2,2.803583686535155,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
9,169.2200684211645,124.33900437154824,1,2-4.75T,4,2,2.7557042489660666,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
13,218.7776356012505,130.2660475602416,1,2-8R,3,2,3.532183462814829,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
15,218.70836693537032,167.72414654876405,1,2-8T,4,2,2.148769759073008,35.049999999999976,252.47512226345737,12.7,0.0174539033302085,2,2,1,1
21,160.0,181.7314251574301,2,R17,6,2,4.355435903816773,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
26,220.0,173.82382419106222,2,R18,7,2,2.7110686753084736,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
30,170.0,146.7787040309259,2,R19,5,2,2.5743418404229934,33.0,310.04460147185046,10.0,0.0147078307752331,2,2,14,1
35,170.0,234.16843048184893,2,R21,7,2,5.6613871276362335,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
40,220.0,222.04634620363356,2,R25,7,2,4.687328608002288,35.0,343.0225037999271,16.0,0.021795331146856,2,2,1,1
44,190.0,222.01066174546995,2,R26,7,2,4.723270193592196,35.0,343.11244777833934,16.0,0.021795331146856,2,2,1,1
48,330.0,223.53579912312756,2,R29,5,2,3.2105940481701625,35.0,291.2509232706112,16.0,0.021795331146856,2,2,14,1
53,350.0,220.9623922129043,2,R33,7,2,5.071984905953981,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
58,180.0,220.7008301067547,2,R49,7,2,5.34192928468556,33.0,343.30340252411946,16.0,0.022155584554242,2,2,1,1
61,220.0,220.50141333522882,2,R58,7,2,4.458818050780047,28.0,289.23499321931894,16.0,0.0231105666470973,2,2,1,1
65,210.0,325.1285106600126,2,R61,6,2,5.871478574272209,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
69,280.0,323.7195708921618,2,R66,6,2,4.518927379356784,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
73,200.0,324.92778703665834,2,R67,6,2,4.60444127780043,27.5,299.19484198488766,26.0,0.0249702132137178,2,2,1,1
77,300.0,277.75645255566496,2,R68,7,2,6.457702669328033,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
84,180.0,308.6522634055265,3,T12,11,2,9.058714932140395,25.0,291.9789584533953,32.0,0.0560451372347726,2,2,1,1
89,200.0,198.85096079928576,3,T21,7,2,5.701301242670252,35.0,341.66975002144864,16.0,0.032692996720284,2,2,1,1
94,210.0,160.96571898764597,3,T27,6,2,7.956016272414919,34.0,307.7601155655561,16.0,0.0467585883324992,2,2,14,1
