,meas_sm,sm_019,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
39,84.85,112.2352731204963,2,R17,6,1,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
43,86.55,112.2352731204963,2,R17,6,2,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
67,103.3,114.53591971621728,2,R21,7,1,0.0,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
72,103.3,114.53591971621728,2,R21,7,2,0.0,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
102,170.0,156.20387957432592,2,R33,6,1,0.0,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
107,187.0,156.20387957432592,2,R33,7,2,0.0,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
112,107.85,154.8705462409926,2,R49,7,2,0.0,33.0,343.30340252411946,16.0,0.022155584554242,2,2,1,1
117,115.3,154.8705462409926,2,R49,7,1,0.0,33.0,343.30340252411946,16.0,0.022155584554242,2,2,1,1
134,134.25,194.62015947609345,2,R61,6,1,0.0,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
138,134.25,194.62015947609345,2,R61,6,2,0.0,29.0,301.19709243586414,26.0,0.0240784198846564,2,2,1,1
142,126.1,187.62015947609345,2,R66,6,1,0.0,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
146,129.8,187.62015947609345,2,R66,6,2,0.0,25.5,299.828378495232,26.0,0.0262673671468979,2,2,1,1
150,112.95,191.62015947609345,2,R67,6,1,0.0,27.5,299.19484198488766,26.0,0.0249702132137178,2,2,1,1
154,112.95,191.62015947609345,2,R67,6,2,0.0,27.5,299.19484198488766,26.0,0.0249702132137178,2,2,1,1
158,169.9,139.613439650729,2,R68,7,1,0.0,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
162,154.167,139.613439650729,2,R68,7,2,0.0,28.0,300.82934744331106,26.0,0.0369985476276428,2,2,1,1
169,79.6,123.33591971621729,3,T12,11,1,0.0,25.0,291.9789584533953,32.0,0.0560451372347726,2,2,1,1
176,91.0,123.33591971621729,3,T12,11,2,0.0,25.0,291.9789584533953,32.0,0.0560451372347726,2,2,1,1
200,93.3,151.3359197162173,3,T7,6,1,0.0,40.0,303.2759328902769,32.0,0.0410330469040299,2,2,14,1
204,85.2,151.3359197162173,3,T7,6,2,0.0,40.0,303.2759328902769,32.0,0.0410330469040299,2,2,14,1
219,128.98,182.90438505855923,4,PL 15/255,7,2,0.0,16.0,327.3509133740737,12.0,0.0122399713776225,2,2,1,1
232,163.02,247.22588398594007,4,PL 30/256,7,2,0.0,17.0,328.204281362172,16.0,0.0159572960182338,2,2,1,1
276,204.0,163.66325047630286,11,1B2c,7,2,0.0,45.0,290.7684,10.0,0.0157079632679489,2,1a,1,1
280,125.5,107.05376976320633,11,2A2b,6,2,0.0,22.0,291.55319999999995,6.0,0.0113097335529232,2,1a,1,1
282,97.0,91.79032732240475,11,2A2d,8,2,0.0,21.0,272.1294,8.0,0.0201061929829746,2,1a,1,1
287,92.5,107.05376976320633,11,3A2b,5,2,0.0,22.0,291.2589,6.0,0.0113097335529232,2,1a,1,1
289,89.5,91.79032732240475,11,3A2d,6,2,0.0,21.0,279.1926,8.0,0.0201061929829746,2,1a,1,1
1105,108.5,150.62845738983543,21,B3-a,9,2,0.0,25.0,321.8951306073301,16.0,0.0213517093624509,2,2,1,1
1115,94.45454545,150.65363627143847,21,B3-b,11,2,0.0,25.0,321.86114466660456,16.0,0.0213517093624509,2,2,1,1
1144,120.8,174.71455962162304,23,BSTN3-16,4,1,0.0,50.0,336.1296145512977,16.0,0.0218545575901898,2,2,1,1
1159,195.0,214.10541746050478,23,STN12,5,2,0.0,44.0,337.99999999999994,12.0,0.0113097335529232,2,1a,1,1
1161,165.0,183.5790630953786,23,STN16,5,2,0.0,42.0,299.0,16.0,0.0201061929829746,2,1a,1,1
1163,125.0,183.5790630953786,23,STS16,7,2,0.0,42.0,249.0,16.0,0.0201061929829746,2,1a,1,1
1178,95.0,106.91465719783139,25,S1-2,4,1,0.0,19.0,292.70412435112644,14.0,0.029782162209004,2,2,1,1
1180,93.9,174.53907971708674,25,S1-4,4,1,0.0,20.0,327.7819575092597,22.0,0.0250251949364295,2,2,1,1
1204,158.0,159.57747154594767,29,350-20-1,8,1,0.0,30.0,297.45380358689647,20.0,0.0224399475256413,2,2,1,1
1209,119.0,159.57747154594767,29,350-20-2,8,1,0.0,30.0,296.790872845987,20.0,0.0224399475256413,2,2,1,1
