,meas_wm,wm_019,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
15,0.149,0.17548397274833738,1,2-32R1,3,2,0.0,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
17,0.11,0.17548397274833738,1,2-32R1,3,1,0.0,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
22,0.112,0.09762135994835623,1,2-8R,2,2,0.0,35.049999999999976,186.87876303806135,12.7,0.0349078066604171,2,2,1,1
23,0.155,0.1302685472471862,1,2-8R,3,2,0.0,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
24,0.069,0.09762135994835623,1,2-8R,2,1,0.0,35.049999999999976,186.87876303806135,12.7,0.0349078066604171,2,2,1,1
25,0.11,0.1302685472471862,1,2-8R,3,1,0.0,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
36,0.066,0.11096120814283487,2,R17,3,1,0.0,30.0,208.1364770305348,16.0,0.028519422670886,2,2,1,1
37,0.071,0.13912937994439065,2,R17,4,1,0.0,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
38,0.09,0.16749696581510237,2,R17,5,1,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,1,1
39,0.088,0.16749696581510237,2,R17,6,1,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
40,0.061,0.11096120814283487,2,R17,3,2,0.0,30.0,208.1364770305348,16.0,0.028519422670886,2,2,1,1
41,0.065,0.13912937994439065,2,R17,4,2,0.0,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
42,0.085,0.16749696581510237,2,R17,5,2,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,1,1
43,0.093,0.16749696581510237,2,R17,6,2,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
63,0.069,0.1067640821826545,2,R21,3,1,0.0,19.0,196.24104766651948,21.33333333333333,0.0264772911709954,2,2,1,1
64,0.08,0.13389117379531634,2,R21,4,1,0.0,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
65,0.092,0.16123486288090788,2,R21,5,1,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
66,0.119,0.16123486288090788,2,R21,6,1,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
67,0.141,0.1888250520963215,2,R21,7,1,0.0,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
68,0.077,0.1067640821826545,2,R21,3,2,0.0,19.0,196.24104766651948,21.33333333333333,0.0264772911709954,2,2,1,1
69,0.098,0.13389117379531634,2,R21,4,2,0.0,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
70,0.119,0.16123486288090788,2,R21,5,2,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
71,0.14,0.16123486288090788,2,R21,6,2,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
72,0.157,0.1888250520963215,2,R21,7,2,0.0,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
101,0.2,0.21736865928424193,2,R33,5,1,0.0,33.0,292.96214109351973,16.0,0.022155584554242,2,2,1,1
102,0.21,0.21736865928424193,2,R33,6,1,0.0,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
105,0.205,0.21736865928424193,2,R33,5,2,0.0,33.0,292.96214109351973,16.0,0.022155584554242,2,2,1,1
106,0.244,0.21736865928424193,2,R33,6,2,0.0,33.0,292.96214109351973,16.0,0.022155584554242,2,2,14,1
107,0.268,0.254270968281049,2,R33,7,2,0.0,33.0,342.69782741830073,16.0,0.022155584554242,2,2,1,1
110,0.17,0.21586302882011552,2,R49,5,2,0.0,33.0,293.4376437333642,16.0,0.022155584554242,2,2,1,1
111,0.17,0.21586302882011552,2,R49,6,2,0.0,33.0,293.4376437333642,16.0,0.022155584554242,2,2,14,1
112,0.209,0.2525460310076833,2,R49,7,2,0.0,33.0,343.30340252411946,16.0,0.022155584554242,2,2,1,1
115,0.144,0.21586302882011552,2,R49,5,1,0.0,33.0,293.4376437333642,16.0,0.022155584554242,2,2,1,1
116,0.144,0.21586302882011552,2,R49,6,1,0.0,33.0,293.4376437333642,16.0,0.022155584554242,2,2,14,1
117,0.149,0.2525460310076833,2,R49,7,1,0.0,33.0,343.30340252411946,16.0,0.022155584554242,2,2,1,1
