,meas_wmax,wmax_095,EPID,ELID,LOADID,locw,k1,cy,sigs,phi_eq_MC2020,rhoeff_MC2020,CS,epsin,Nrep,t
0,0.228,0.12426864149387451,1,2-16R,3,2,0.0,35.049999999999976,198.08348109839045,12.7,0.0174539033302085,2,2,1,1
1,0.303,0.1963419106480253,1,2-16R,4,2,0.0,35.049999999999976,258.48224516667364,12.7,0.0174539033302085,2,2,1,1
2,0.151,0.12426864149387451,1,2-16R,3,1,0.0,35.049999999999976,198.08348109839045,12.7,0.0174539033302085,2,2,1,1
3,0.175,0.1963419106480253,1,2-16R,4,1,0.0,35.049999999999976,258.48224516667364,12.7,0.0174539033302085,2,2,1,1
4,0.303,0.14019306631421483,1,2-16T,3,2,0.0,35.049999999999976,215.08982554508447,12.7,0.0174539033302085,2,2,1,1
5,0.344,0.22499573904812845,1,2-16T,4,2,0.0,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
6,0.446,0.30452062747254266,1,2-16T,5,2,0.0,35.049999999999976,340.3258668771513,12.7,0.0174539033302085,2,2,1,1
7,0.197,0.14019306631421483,1,2-16T,3,1,0.0,35.049999999999976,215.08982554508447,12.7,0.0174539033302085,2,2,1,1
8,0.305,0.22499573904812845,1,2-16T,4,1,0.0,35.049999999999976,281.1877230395622,12.7,0.0174539033302085,2,2,1,1
9,0.356,0.30452062747254266,1,2-16T,5,1,0.0,35.049999999999976,340.3258668771513,12.7,0.0174539033302085,2,2,1,1
10,0.252,0.134540301983706,1,2-24R,2,2,0.0,35.049999999999976,197.30800034554832,12.7,0.0153020522347034,1,2,1,1
11,0.391,0.2893036819893754,1,2-24R,3,2,0.0,35.049999999999976,328.6324485774948,12.7,0.0153020522347034,2,2,1,1
12,0.161,0.134540301983706,1,2-24R,2,1,0.0,35.049999999999976,197.30800034554832,12.7,0.0153020522347034,1,2,1,1
13,0.318,0.2893036819893754,1,2-24R,3,1,0.0,35.049999999999976,328.6324485774948,12.7,0.0153020522347034,2,2,1,1
14,0.148,0.08730564976621284,1,2-32R1,2,2,0.0,35.00000000000002,157.36757000838156,12.7,0.0249525718711917,2,2,1,1
15,0.251,0.189983628443068,1,2-32R1,3,2,0.0,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
16,0.137,0.08730564976621284,1,2-32R1,2,1,0.0,35.00000000000002,157.36757000838156,12.7,0.0249525718711917,2,2,1,1
17,0.214,0.189983628443068,1,2-32R1,3,1,0.0,35.00000000000002,265.04735031747714,12.7,0.0249525718711917,2,2,1,1
18,0.279,0.11044050540667472,1,2-4.75T,4,2,0.0,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
19,0.392,0.15962364255347222,1,2-4.75T,5,2,0.0,35.17999999999997,255.8974991437278,12.7,0.0383649706486183,2,2,1,1
20,0.163,0.11044050540667472,1,2-4.75T,4,1,0.0,35.17999999999997,191.1045215188624,12.7,0.0383649706486183,2,2,1,1
21,0.25,0.15962364255347222,1,2-4.75T,5,1,0.0,35.17999999999997,255.8974991437278,12.7,0.0383649706486183,2,2,1,1
22,0.188,0.1126380957364123,1,2-8R,2,2,0.0,35.049999999999976,186.87876303806135,12.7,0.0349078066604171,2,2,1,1
23,0.254,0.16695090995972475,1,2-8R,3,2,0.0,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
24,0.124,0.1126380957364123,1,2-8R,2,1,0.0,35.049999999999976,186.87876303806135,12.7,0.0349078066604171,2,2,1,1
25,0.199,0.16695090995972475,1,2-8R,3,1,0.0,35.049999999999976,249.3760073123149,12.7,0.0349078066604171,2,2,1,1
26,0.176,0.11774688663258309,1,2-8T,3,2,0.0,35.049999999999976,191.9465075298567,12.7,0.0174539033302085,2,2,1,1
27,0.275,0.18937620252232595,1,2-8T,4,2,0.0,35.049999999999976,252.47512226345737,12.7,0.0174539033302085,2,2,1,1
28,0.38,0.2716916633437879,1,2-8T,5,2,0.0,35.049999999999976,322.0338043867156,12.7,0.0174539033302085,2,2,1,1
29,0.164,0.11774688663258309,1,2-8T,3,1,0.0,35.049999999999976,191.9465075298567,12.7,0.0174539033302085,2,2,1,1
30,0.202,0.18937620252232595,1,2-8T,4,1,0.0,35.049999999999976,252.47512226345737,12.7,0.0174539033302085,2,2,1,1
31,0.301,0.2716916633437879,1,2-8T,5,1,0.0,35.049999999999976,322.0338043867156,12.7,0.0174539033302085,2,2,1,1
32,0.305,0.27418919884959314,1,3-S1,3,1,0.0,41.274999999999984,264.92036985274274,19.05,0.0103594286329902,2,2,1,1
33,0.406,0.17260268647316293,1,3-S2,3,2,0.0,44.44999999999998,197.36542245722396,12.700000000000005,0.0087266462599716,1,2,1,1
34,0.255,0.17260268647316293,1,3-S2,3,1,0.0,44.44999999999998,197.36542245722396,12.700000000000005,0.0087266462599716,1,2,1,1
35,0.358,0.23657186192605076,1,3-S2,4,1,0.0,44.44999999999998,270.80813216176665,12.700000000000005,0.0087266462599716,1,2,1,1
36,0.115,0.15550575269738706,2,R17,3,1,0.0,30.0,208.1364770305348,16.0,0.028519422670886,2,2,1,1
37,0.13,0.20803042849862297,2,R17,4,1,0.0,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
38,0.15,0.26092694807468425,2,R17,5,1,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,1,1
39,0.185,0.26092694807468425,2,R17,6,1,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
40,0.115,0.15550575269738706,2,R17,3,2,0.0,30.0,208.1364770305348,16.0,0.028519422670886,2,2,1,1
41,0.13,0.20803042849862297,2,R17,4,2,0.0,30.0,260.97317682222905,16.0,0.028519422670886,2,2,1,1
42,0.15,0.26092694807468425,2,R17,5,2,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,1,1
43,0.165,0.26092694807468425,2,R17,6,2,0.0,30.0,314.1839293348618,16.0,0.028519422670886,2,2,14,1
44,0.125,0.12013534510649983,2,R18,3,1,0.0,20.0,191.1342290475247,12.341463414634148,0.0157702964555201,2,2,1,1
45,0.135,0.16732871555528198,2,R18,4,1,0.0,20.0,239.1887328785413,12.341463414634148,0.0157702964555201,2,2,1,1
46,0.21,0.2146705975882606,2,R18,5,1,0.0,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,1,1
47,0.235,0.2146705975882606,2,R18,6,1,0.0,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,14,1
48,0.275,0.2621200378512758,2,R18,7,1,0.0,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
49,0.125,0.12013534510649983,2,R18,3,2,0.0,20.0,191.1342290475247,12.341463414634148,0.0157702964555201,2,2,1,1
50,0.125,0.16732871555528198,2,R18,4,2,0.0,20.0,239.1887328785413,12.341463414634148,0.0157702964555201,2,2,1,1
51,0.185,0.2146705975882606,2,R18,5,2,0.0,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,1,1
52,0.168,0.2146705975882606,2,R18,6,2,0.0,20.0,287.3944581718916,12.341463414634148,0.0157702964555201,2,2,14,1
53,0.2,0.2621200378512758,2,R18,7,2,0.0,20.0,335.7097043010754,12.341463414634148,0.0157702964555201,2,2,1,1
54,0.085,0.08853052674097535,2,R19,1,1,0.0,33.0,154.28456042344084,10.0,0.0147078307752331,1,2,1,1
55,0.115,0.11583211532645712,2,R19,2,1,0.0,33.0,206.0266194787813,10.0,0.0147078307752331,2,2,1,1
56,0.135,0.16988359974828762,2,R19,3,1,0.0,33.0,257.94261488758053,10.0,0.0147078307752331,2,2,1,1
57,0.2,0.22412872582225996,2,R19,4,1,0.0,33.0,310.04460147185046,10.0,0.0147078307752331,2,2,1,1
58,0.215,0.22412872582225996,2,R19,5,1,0.0,33.0,310.04460147185046,10.0,0.0147078307752331,2,2,14,1
59,0.115,0.11583211532645712,2,R19,2,2,0.0,33.0,206.0266194787813,10.0,0.0147078307752331,2,2,1,1
60,0.15,0.16988359974828762,2,R19,3,2,0.0,33.0,257.94261488758053,10.0,0.0147078307752331,2,2,1,1
61,0.2,0.22412872582225996,2,R19,4,2,0.0,33.0,310.04460147185046,10.0,0.0147078307752331,2,2,1,1
62,0.225,0.22412872582225996,2,R19,5,2,0.0,33.0,310.04460147185046,10.0,0.0147078307752331,2,2,14,1
63,0.1,0.1557502736038538,2,R21,3,1,0.0,19.0,196.24104766651948,21.33333333333333,0.0264772911709954,2,2,1,1
64,0.14,0.2037858909317327,2,R21,4,1,0.0,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
65,0.2,0.2522050507886963,2,R21,5,1,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
66,0.19,0.2522050507886963,2,R21,6,1,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
67,0.275,0.3010607036570184,2,R21,7,1,0.0,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
68,0.15,0.1557502736038538,2,R21,3,2,0.0,19.0,196.24104766651948,21.33333333333333,0.0264772911709954,2,2,1,1
69,0.185,0.2037858909317327,2,R21,4,2,0.0,19.0,246.1028435943572,21.33333333333333,0.0264772911709954,2,2,1,1
70,0.2,0.2522050507886963,2,R21,5,2,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,1,1
71,0.25,0.2522050507886963,2,R21,6,2,0.0,19.0,296.3627632557641,21.33333333333333,0.0264772911709954,2,2,14,1
72,0.25,0.3010607036570184,2,R21,7,2,0.0,19.0,347.07577016090767,21.33333333333333,0.0264772911709954,2,2,1,1
73,0.115,0.13082026644263148,2,R25,3,1,0.0,35.0,194.6850029938567,16.0,0.021795331146856,2,2,1,1
74,0.16,0.17147712400324047,2,R25,4,1,0.0,35.0,243.8673650632452,16.0,0.021795331146856,2,2,1,1
75,0.2,0.2123383055531344,2,R25,5,1,0.0,35.0,293.2968966637636,16.0,0.021795331146856,2,2,1,1
76,0.25,0.2123383055531344,2,R25,6,1,0.0,35.0,293.2968966637636,16.0,0.021795331146856,2,2,14,1
