Time_DIC_1,Force_DIC_1,Time_DOFS_1,Time_DIC_2,Force_DIC_2,Time_DOFS_2,Strain_Crack_1_Beam_1,Strain_Crack_2_Beam_1,Strain_Crack_3_Beam_1,Strain_Crack_4_Beam_1,Strain_Crack_5_Beam_1,Strain_Crack_6_Beam_1,Strain_Crack_1_Beam_2,Strain_Crack_2_Beam_2,Strain_Crack_3_Beam_2,Strain_Crack_4_Beam_2,Strain_Crack_5_Beam_2,Strain_Crack_6_Beam_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.01,0.08,4.98,0.07,0.08,-6,-3,-4,2,6,7,4,-6,10,0,8,-4
10,0.02,0.16,9.96,0.16,0.16,-4,0,-3,-4,5,-1,7,-11,6,-1,2,-1
15,0.21,0.24,14.95,0.28,0.24,-1,-1,-4,3,7,-2,4,-11,-3,-6,-2,-9
20,0.27,0.32,19.93,0.39,0.32,-4,2,-5,-2,6,0,2,1,2,3,7,-2
25,0.4,0.4,24.91,0.58,0.4,-2,7,-4,-1,2,1,2,4,11,0,6,-7
30,0.64,0.48,29.89,0.85,0.48,-4,2,0,5,2,0,7,-6,5,-4,-6,-5
35,0.97,0.56,34.87,1.13,0.56,-11,-3,0,3,2,-6,6,2,7,-5,3,5
40,1.41,0.64,39.86,1.32,0.64,-3,5,1,3,3,3,0,-11,10,2,2,-9
45,1.84,0.72,44.84,1.57,0.72,-8,5,-2,-4,1,4,6,1,2,-4,9,-5
50,2.26,0.8,49.82,1.85,0.8,-6,2,-3,3,1,4,8,-7,7,2,9,-4
55,2.68,0.88,54.8,2.18,0.88,-6,-4,4,6,1,0,1,-2,-3,-1,-4,-7
60,3.06,0.96,59.79,2.51,0.96,-10,-3,0,-8,6,-2,7,-3,11,3,6,-3
65,3.49,1.04,64.77,2.85,1.04,2,7,4,5,-6,8,-2,-7,4,-1,-3,-7
70,3.82,1.12,69.75,3.15,1.12,-7,-5,5,-3,2,-3,13,-2,5,3,4,-2
75,4.33,1.2,74.73,3.56,1.2,-5,9,5,5,1,3,2,1,10,1,8,-6
80,4.67,1.28,79.71,3.91,1.28,-13,0,0,1,4,4,2,1,5,-1,10,-4
85,5.16,1.36,84.7,4.18,1.36,-8,-6,2,-1,6,7,7,-8,6,1,2,-2
90,5.52,1.44,89.68,4.47,1.44,-4,0,2,-6,-4,-5,3,-8,0,-2,4,-9
95,5.97,1.52,94.66,4.81,1.52,-7,1,2,-1,4,-2,4,-10,1,-4,0,-4
100,6.37,1.6,99.64,5.14,1.6,-2,8,3,2,0,-1,8,2,13,0,4,-1
105,6.86,1.68,104.62,5.5,1.68,-9,3,-4,-1,-3,-1,7,-3,6,0,3,-3
110,7.37,1.76,109.61,5.95,1.76,-5,-5,-6,3,7,4,1,3,-1,-7,9,-8
115,7.83,1.84,114.59,6.37,1.84,-2,-6,-5,-3,-9,-3,1,-10,8,1,0,-5
120,8.25,1.92,119.57,6.81,1.919,-11,2,2,-7,1,4,10,-10,12,3,-5,-1
125,8.8,2,124.55,7.28,1.999,-11,5,-5,3,-3,10,7,-5,11,2,6,-1
130,9.3,2.08,129.53,7.77,2.079,-9,-8,1,-8,6,6,1,-4,-1,-6,2,-10
135,9.68,2.16,134.52,8.21,2.159,-6,5,5,2,1,1,7,3,9,-1,3,-6
140,10.29,2.24,139.5,8.64,2.239,-7,2,-5,-1,0,-1,2,-1,4,-5,7,-2
145,10.74,2.32,144.48,9.15,2.319,-5,3,5,5,3,2,4,-6,5,3,2,0
150,11.25,2.4,149.46,9.61,2.399,-13,-1,0,3,4,1,4,0,8,-3,7,-2
155,11.74,2.48,154.44,10.12,2.479,-5,3,-1,-6,6,1,1,-11,6,-4,-1,-3
160,12.2,2.56,159.43,10.53,2.559,-3,7,-3,2,-3,0,11,2,10,4,6,-2
165.01,12.7,2.64,164.41,10.95,2.639,-13,3,2,-2,-3,3,-2,-3,1,-3,3,-4
170.01,13.16,2.72,169.39,11.42,2.719,-5,8,-5,12,-4,3,7,-4,10,2,6,-4
175.01,13.56,2.8,174.37,11.74,2.799,-4,4,7,-1,5,0,10,-4,-2,0,13,0
180.01,14.03,2.88,179.36,12.07,2.879,-1,4,3,1,-3,1,10,-7,8,2,0,-6
185.01,14.42,2.96,184.34,12.38,2.959,-4,5,-2,6,2,7,10,-4,7,0,6,-5
190.01,14.88,3.04,189.32,12.86,3.039,1,0,-2,0,1,0,0,-1,7,-1,4,0
195.01,15.38,3.12,194.3,13.28,3.119,-6,5,-3,-1,-1,2,6,-1,2,0,9,-7
200.01,15.83,3.2,199.28,13.7,3.199,-1,-2,6,-5,-1,-2,6,-1,12,-3,8,-9
205.01,16.19,3.28,204.27,14.02,3.279,-7,-3,-3,1,2,4,6,-8,10,-4,4,-4
210.01,16.72,3.36,209.25,14.34,3.359,-8,1,3,-2,-8,9,7,-3,2,3,-2,1
215.01,17.12,3.44,214.23,14.85,3.439,-9,4,-3,-6,2,-3,3,-4,8,-3,4,-4
220.01,17.59,3.52,219.21,15.24,3.519,2,0,4,6,-3,2,8,-7,1,-2,-6,-7
225.01,18.09,3.6,224.19,15.59,3.599,-4,1,-3,4,-4,2,8,-4,10,-8,7,2
230.01,18.51,3.68,229.18,16.12,3.679,-3,3,-7,-5,4,11,4,-4,0,-1,4,-5
235.01,18.91,3.76,234.16,16.43,3.759,-12,4,-1,-5,4,3,4,-6,5,-4,4,-7
240.01,19.44,3.84,239.14,16.9,3.839,-7,4,4,-1,4,6,4,-2,7,-7,4,-1
245.01,19.83,3.92,244.12,17.27,3.919,0,0,-6,4,3,5,3,-17,0,0,3,-1
250.01,20.2,4,249.1,17.63,3.999,-10,-1,-4,-7,-2,-2,3,-6,2,0,2,-3
255.01,20.7,4.08,254.09,18.04,4.079,-8,5,3,7,4,5,0,-8,1,-4,5,-4
260.01,21.14,4.16,259.07,18.37,4.159,-10,12,3,-4,-3,2,6,-10,6,0,7,-3
265.01,21.57,4.24,264.05,18.82,4.239,-12,5,6,5,4,8,0,-8,16,3,6,2
270.01,22.02,4.32,269.03,19.2,4.319,-11,6,-3,5,2,0,4,-8,4,-3,8,-6
275.01,22.46,4.4,274.02,19.66,4.399,-12,-5,3,1,2,4,6,-10,6,1,3,0
280.01,22.86,4.48,279,20.04,4.479,-7,2,-2,-1,-5,-2,5,-1,4,-6,3,-3
285.01,23.29,4.56,283.98,20.48,4.559,-2,7,-5,1,-5,-4,10,-5,4,-2,-6,-3
290.01,23.74,4.64,288.96,20.84,4.639,-3,1,-2,4,1,4,7,-4,11,3,4,3
295.01,24.23,4.72,293.94,21.22,4.719,-6,-3,-7,-2,0,0,1,-9,0,-4,5,-8
300.01,24.65,4.8,298.93,21.56,4.799,-15,4,-4,-2,6,6,7,-4,9,-7,-1,-6
305.01,25.02,4.88,303.91,21.95,4.879,-6,12,4,-3,3,-1,-2,-6,-1,3,2,-8
310.01,25.54,4.96,308.89,22.35,4.959,-10,1,-1,1,2,8,12,-8,6,0,2,-3
315.01,25.92,5.04,313.87,22.7,5.039,-4,-5,3,0,3,-2,8,5,7,-4,3,-4
320.01,26.4,5.12,318.85,23.11,5.119,-2,0,-1,7,2,5,2,-8,-10,0,-3,-3
325.01,26.81,5.2,323.84,23.5,5.199,-7,10,6,2,-5,3,4,1,9,-6,0,2
330.01,27.3,5.28,328.82,23.92,5.279,-8,-2,-12,0,5,1,0,-3,5,-3,3,-4
335.01,27.67,5.36,333.8,24.29,5.359,-8,7,-3,3,2,5,5,-8,4,3,11,-8
340.01,28.07,5.44,338.78,24.7,5.439,-8,3,5,-2,-1,3,4,-5,6,3,-5,-8
345.01,28.34,5.52,343.76,25.11,5.519,-10,4,-7,8,-6,1,-1,-10,2,-6,-1,3
350.01,28.84,5.6,348.75,25.48,5.599,-6,1,1,-3,1,1,11,0,2,3,1,-4
355.01,29.29,5.68,353.73,25.84,5.679,-7,0,5,-2,-5,-1,2,-3,4,2,18,2
360.01,29.75,5.76,358.71,26.19,5.759,-5,3,-2,-5,-4,-4,7,-6,2,-4,4,-7
365.01,30.12,5.84,363.69,26.66,5.839,-3,-8,1,2,5,9,9,2,9,-5,-2,-6
370.01,30.59,5.92,368.67,27.05,5.919,-6,-2,-4,0,-2,1,-4,-6,7,-1,4,-3
375.01,30.96,6,373.66,27.4,5.999,-7,-1,3,3,1,5,8,-3,6,0,1,-2
380.01,31.34,6.08,378.64,27.81,6.079,-5,9,4,2,-2,6,1,4,7,-1,14,-2
385.01,31.66,6.16,383.62,28.26,6.159,-6,-2,6,-3,-3,-4,2,-7,4,-4,-2,-8
390.01,32.05,6.24,388.6,28.69,6.239,1,2,5,4,-4,13,11,1,14,-6,9,-2
395.01,32.51,6.32,393.59,29.12,6.319,-2,9,-3,0,3,9,5,0,2,4,10,-1
400.01,32.9,6.4,398.57,29.58,6.399,1,-12,3,-2,-6,2,4,-12,8,2,-1,-9
405.01,33.14,6.48,403.55,29.89,6.479,-2,6,-4,-3,5,-1,2,-10,6,-2,7,-7
410.01,33.53,6.56,408.53,30.32,6.559,-7,0,-2,-3,1,-2,0,0,-5,-6,1,-8
415.01,33.95,6.64,413.51,30.75,6.639,-2,6,4,11,6,3,9,-5,7,3,0,-5
420.01,34.31,6.72,418.5,31.07,6.719,-8,5,3,2,-3,0,-1,0,12,-4,-3,-3
425.01,34.63,6.8,423.48,31.44,6.799,-9,12,4,-4,-4,2,10,-4,0,-5,3,-7
430.01,34.93,6.88,428.46,31.95,6.879,-6,4,-3,-2,0,2,7,2,-1,-1,0,3
431.01,35.02,6.96,433.44,32.26,6.959,-6,2,4,1,3,6,7,-11,6,-1,5,-11
432.01,35.03,7.04,438.42,32.56,7.039,-1,6,2,8,-3,2,7,-11,2,1,7,0
433.01,35.11,7.12,443.41,33.04,7.119,-4,1,2,6,-3,2,12,-4,5,1,7,-4
434.01,35.16,7.2,448.39,33.34,7.199,-7,9,-3,-1,-4,0,11,0,5,-3,-1,-8
435.01,35.2,7.28,453.37,33.73,7.279,-4,3,5,2,2,2,12,-2,7,0,-3,-1
436.01,35.24,7.36,458.35,34.12,7.359,-7,3,-7,1,5,5,1,-9,-5,3,1,-3
437.01,35.34,7.44,463.33,34.47,7.439,-8,1,1,3,3,5,6,-12,2,5,7,-9
438.01,35.38,7.52,468.32,34.8,7.519,-12,-5,1,-1,0,-2,10,0,11,-1,6,0
439.01,35.43,7.6,469.31,34.98,7.599,-13,6,-2,-6,2,7,1,-8,4,0,2,-10
440.01,35.49,7.68,470.31,35.04,7.679,-12,3,0,5,3,4,6,1,8,-4,0,-7
441.01,35.56,7.76,471.31,35.05,7.759,-3,4,-2,0,5,6,1,-8,-3,-7,2,-13
442.01,35.63,7.84,472.3,35.16,7.839,-2,-2,7,2,-5,5,7,-7,2,0,6,-8
443.01,35.73,7.92,473.3,35.26,7.919,-2,0,5,-4,-4,-1,2,3,7,3,0,-2
444.01,35.79,8,474.3,35.34,7.999,-5,4,-3,-2,-1,3,5,-12,6,-1,-1,-4
445.01,35.85,8.08,475.29,35.4,8.079,-2,2,5,2,5,-9,7,5,5,-2,-8,2
446.01,35.9,8.16,476.29,35.48,8.159,-14,-4,-4,0,0,9,-1,2,5,-2,6,-11
447.01,35.89,8.24,477.28,35.54,8.239,-7,9,-1,0,-1,2,13,-4,3,1,10,-2
448.01,35.95,8.32,478.28,35.59,8.319,-8,-12,-4,7,5,-3,3,-5,12,-2,5,0
449.01,36.04,8.4,479.28,35.67,8.399,-6,1,-4,8,3,3,5,-6,9,3,1,-11
450.01,36.12,8.48,480.27,35.74,8.479,-5,5,-5,1,-2,-2,7,-4,1,4,7,-3
451.01,36.2,8.56,481.27,35.82,8.559,3,-2,1,3,0,7,7,3,4,-6,15,-4
452.01,36.31,8.64,482.27,35.89,8.639,-5,4,1,-7,0,4,6,-9,2,2,-4,-7
453.01,36.35,8.72,483.26,35.96,8.719,0,3,0,7,-2,3,11,-5,9,-1,6,0
454.01,36.41,8.8,484.26,36.02,8.799,-7,1,2,0,5,0,-1,-5,1,0,4,-5
455.01,36.46,8.88,485.26,36.03,8.879,-7,6,1,-1,2,0,3,-5,4,2,1,-6
456.01,36.52,8.96,486.25,36.13,8.959,-11,1,-4,2,1,4,10,-7,6,3,10,-1
457.01,36.6,9.04,487.25,36.24,9.039,-10,4,-5,-6,0,4,-1,-4,4,-3,4,-3
458.01,36.67,9.12,488.25,36.26,9.119,-4,5,5,1,2,3,13,-7,8,-5,-5,-1
459.01,36.74,9.2,489.24,36.29,9.199,-2,0,1,-1,-5,-2,-2,0,1,3,3,1
460.01,36.81,9.28,490.24,36.4,9.279,-2,2,-2,-3,-3,2,15,-7,2,0,4,-8
461.01,36.81,9.36,491.23,36.43,9.359,-5,1,2,6,3,0,1,-9,5,-1,0,4
462.01,36.98,9.44,492.23,36.65,9.439,-3,5,-2,-1,-3,2,1,1,-1,-6,-5,-3
463.01,37.02,9.52,493.23,36.72,9.519,-6,2,4,3,-3,5,5,-6,6,-3,-4,-4
464.01,37.06,9.6,494.22,36.8,9.599,-11,2,1,4,-1,-3,1,-4,7,-4,6,-6
465.01,37.14,9.68,495.22,36.82,9.679,-4,7,3,0,-2,-1,3,-2,-1,0,-3,-5
466.01,37.2,9.76,496.22,36.95,9.759,-8,7,0,0,-5,3,2,-7,14,0,0,-4
467.01,37.27,9.84,497.21,37.01,9.839,-5,5,-2,2,-4,1,7,0,3,3,-8,-6
468.01,37.33,9.92,498.21,37.05,9.919,-11,6,2,-3,-1,2,8,-6,-1,0,2,-4
469.01,37.38,10,499.21,37.1,9.999,-1,-3,2,6,-4,4,2,-12,3,-1,5,-3
470.01,37.42,10.08,500.2,37.16,10.079,-7,5,3,-2,6,0,1,-6,9,2,2,-1
471.01,37.47,10.16,501.2,37.21,10.159,-2,-3,3,6,4,1,5,2,9,0,1,-9
472.01,37.56,10.24,502.2,37.23,10.239,-3,4,0,1,-2,2,-5,-9,0,3,-1,-8
473.01,37.61,10.32,503.19,37.13,10.319,-7,-3,4,-3,-2,0,8,1,4,3,-6,-8
474.01,37.66,10.4,504.19,37.23,10.399,-11,10,-1,8,-3,-4,5,-4,3,-1,7,-6
475.01,37.72,10.48,505.18,37.33,10.479,-9,0,-1,-1,-4,1,2,-9,7,1,1,-6
476.01,37.78,10.56,506.18,37.42,10.559,-5,-2,3,7,-1,3,8,-7,2,-1,5,-2
477.01,37.82,10.64,507.18,37.49,10.639,-10,3,-5,-2,-2,3,2,-5,10,4,0,-7
478.01,37.89,10.72,508.17,37.58,10.719,-4,-2,4,3,5,5,7,-8,8,0,-2,3
479.01,37.95,10.8,509.17,37.59,10.799,2,2,-8,-7,3,0,10,-3,6,-5,4,0
480.01,37.94,10.88,510.17,37.67,10.879,-5,2,-4,1,4,4,2,-4,-2,-3,4,-8
481.01,37.99,10.96,511.16,37.76,10.959,-6,0,-4,-3,3,-3,4,-13,14,-4,6,-3
482.01,38.01,11.04,512.16,37.84,11.039,-11,4,-5,6,2,-3,6,-6,0,-2,4,2
483.01,38.15,11.12,513.16,37.92,11.119,-14,4,2,4,4,2,4,-1,-4,0,2,3
484.01,38.2,11.2,514.15,37.98,11.199,-5,2,4,6,5,7,8,2,6,1,3,-2
485.01,38.25,11.28,515.15,38.04,11.279,-8,-5,1,3,5,-1,4,-1,5,-4,7,-7
486.01,38.33,11.36,516.14,38.13,11.359,-4,-4,-5,2,-1,-7,8,-1,10,3,8,-5
487.01,38.35,11.44,517.14,38.19,11.439,-5,6,3,12,6,5,-2,4,2,2,1,-2
488.01,38.36,11.52,518.14,38.25,11.519,-7,0,-3,-1,-1,6,11,-6,10,3,-2,-8
489.01,38.42,11.6,519.13,38.3,11.599,0,-2,1,-1,3,4,6,7,11,2,-1,-4
490.01,38.46,11.68,520.13,38.37,11.679,-5,3,1,-6,3,-3,2,-6,-1,-1,0,-9
491.02,38.51,11.76,521.13,38.41,11.759,-7,-2,-2,1,2,4,5,-1,-2,-3,-2,0
492.02,38.57,11.84,522.12,38.51,11.839,-8,-1,6,-7,3,3,4,-1,12,0,4,-11
493.02,38.52,11.92,523.12,38.59,11.919,-3,3,-1,-4,3,-1,11,1,1,3,-1,-11
494.02,38.61,12,524.12,38.67,11.999,-9,8,-4,6,5,5,8,-7,14,-3,0,-4
495.02,38.66,12.08,525.11,38.69,12.079,-10,-3,5,3,-1,1,7,5,9,0,-12,-7
