No,Source,Name,ID,rho,Es,fr,cbot,fcm,fctm,Ecm,sigs,phi,w
308,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-1,7.853981634,200.5333333,2,45,29.9,2.13,27.5,407,10,0.22
309,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-1,7.853981634,200.5333333,2,45,29.9,2.13,27.5,310,10,0.22
310,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-1,7.853981634,200.5333333,2,45,29.9,2.13,27.5,331,10,0.23
311,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-1,7.853981634,200.5333333,2,45,29.9,2.13,27.5,382,10,0.27
312,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-1,7.853981634,200.5333333,2,45,29.9,2.13,27.5,407,10,0.29
313,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-1,7.853981634,200.5333333,2,45,29.9,2.13,27.5,441,10,0.32
334,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-2,7.853981634,200.5333333,2,45,29.9,2.13,27.5,339,10,0.2
335,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-2,7.853981634,200.5333333,2,45,29.9,2.13,27.5,277,10,0.2
336,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-2,7.853981634,200.5333333,2,45,29.9,2.13,27.5,308,10,0.21
337,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-2,7.853981634,200.5333333,2,45,29.9,2.13,27.5,340,10,0.23
338,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-2,7.853981634,200.5333333,2,45,29.9,2.13,27.5,382,10,0.27
339,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-2,7.853981634,200.5333333,2,45,29.9,2.13,27.5,427,10,0.31
359,Farra and Jaccoud,Rapport des essais de tirants sous defomration imposee de courte duree,N10-10-3,7.853981634,200.5333333,2,45,29.9,2.13,27.5,412,10,0.11
